company,trip_id,route_id,origin_port,dest_port,departure_datetime_local,date,dep_time,weekday,month,year,ship_type,capacity_pax,capacity_veh,is_holiday_proxy,sea_bad_proxy,avg_ticket_price,price_index,pax_real,veh_real,occupancy_real_pax,occupancy_real_veh,cancel_rate,no_show_rate,delay_minutes,revenue_real
LevanteFerries,T0000005,DEN-FOR,Denia,Formentera,2024-01-01 08:00:00,2024-01-01,08:00,0,1,2024,CONV,1200,320,1,0,48.47725375794474,1.0772723057321052,477,139,0.3975,0.434375,0.0434824198460008,0.0158168006639851,7,27503.56991956995
LevanteFerries,T0000001,DEN-IBZ,Denia,Ibiza,2024-01-01 12:00:00,2024-01-01,12:00,0,1,2024,CONV,1200,320,1,0,49.31308216717126,1.0958462703815834,729,238,0.6075,0.74375,0.02711061305675143,0.01758125548857749,0,43577.970711129245
LevanteFerries,T0000008,VAL-IBZ,Valencia,Ibiza,2024-01-01 12:00:00,2024-01-01,12:00,0,1,2024,CONV,1200,320,1,0,47.93289963616526,1.065175547470339,454,150,0.37833333333333335,0.46875,0.050668398696892825,0.020553430646399477,3,26434.99414934514
LevanteFerries,T0000000,DEN-IBZ,Denia,Ibiza,2024-01-01 17:00:00,2024-01-01,17:00,0,1,2024,FAST,900,220,1,0,58.523592865139584,1.0640653248207197,661,200,0.7344444444444445,0.9090909090909091,0.03974798263743567,0.009028692506984938,13,46292.16195632541
LevanteFerries,T0000004,DEN-PMI,Denia,Palma,2024-01-01 17:00:00,2024-01-01,17:00,0,1,2024,CONV,1200,320,1,0,46.53549122587729,1.0341220272417175,579,192,0.4825,0.6,0.05693458439081338,0.014202367796415875,0,32751.678724772435
LevanteFerries,T0000006,DEN-FOR,Denia,Formentera,2024-01-01 17:00:00,2024-01-01,17:00,0,1,2024,CONV,1200,320,1,0,48.67152530875589,1.0815894513056865,668,210,0.5566666666666666,0.65625,0.04433679098034976,0.019419017580869783,0,39156.24211089411
LevanteFerries,T0000002,DEN-IBZ,Denia,Ibiza,2024-01-01 20:00:00,2024-01-01,20:00,0,1,2024,CONV,1200,320,1,0,47.435461957766734,1.0541213768392608,692,201,0.5766666666666667,0.628125,0.05833812008011045,0.013918293625518384,2,39022.7827795568
LevanteFerries,T0000003,DEN-PMI,Denia,Palma,2024-01-01 20:00:00,2024-01-01,20:00,0,1,2024,CONV,1200,320,1,0,48.222950456105,1.0716211212467779,584,190,0.4866666666666667,0.59375,0.04646231504511824,0.029991533206093227,2,34117.737447694286
LevanteFerries,T0000007,DEN-FOR,Denia,Formentera,2024-01-01 20:00:00,2024-01-01,20:00,0,1,2024,CONV,1200,320,1,0,46.78576579916378,1.0396836844258617,572,173,0.4766666666666667,0.540625,0.06242411966851594,0.008939182190147298,13,32022.517401237645
LevanteFerries,T0000009,VAL-IBZ,Valencia,Ibiza,2024-01-01 20:00:00,2024-01-01,20:00,0,1,2024,CONV,1200,320,1,0,48.927763486078995,1.0872836330239777,427,130,0.35583333333333333,0.40625,0.020864705149931172,0.007066989501975634,0,25026.551023129407
LevanteFerries,T0000012,DEN-IBZ,Denia,Ibiza,2024-01-02 08:00:00,2024-01-02,08:00,1,1,2024,FAST,900,220,0,0,54.868464952004445,0.997608453672808,505,131,0.5611111111111111,0.5954545454545455,0.018293312913653693,0.005741102713519183,0,32380.624591425425
