company,trip_id,route_id,origin_port,dest_port,departure_datetime_local,date,dep_time,weekday,month,year,ship_type,capacity_pax,capacity_veh,is_holiday_proxy,sea_bad_proxy,avg_ticket_price,price_index,pax_real,veh_real,occupancy_real_pax,occupancy_real_veh,cancel_rate,no_show_rate,delay_minutes,revenue_real,pax_lag_1w,pax_lag_2w,veh_lag_1w,veh_lag_2w,pax_roll_mean_20,pax_roll_std_20,veh_roll_mean_20,veh_roll_std_20,delay_roll_mean_20,occ_pax_roll_mean_20,dep_key,date_ly,pax_ly_slot,roll_20_ly,trend_factor,pax_pred_baseline,pax_pred_ml,occ_pred_ml,flag,action,abs_error_baseline,abs_error_ml
LevanteFerries,T0006609,DEN-FOR,Denia,Formentera,2025-07-01 08:00:00,2025-07-01,08:00,1,7,2025,FAST,900,220,0,0,60.74820181666949,1.1045127603030818,690,216,0.7666666666666667,0.9818181818181818,0.054544198572473265,0.017471480956889163,0,50445.306788562346,664.0,752.0,197.0,219.0,729.75,110.5197648434549,212.4,19.351050563076516,7.2,0.8108333333333333,DEN-FOR|1|08:00,2024-07-02,696.0,786.95,0.9273143147595145,645.4107630726221,692.7880249023438,0.7697644721137152,NORMAL,Monitor estándar,44.5892369273779,2.78802490234375
LevanteFerries,T0006610,DEN-FOR,Denia,Formentera,2025-07-01 12:00:00,2025-07-01,12:00,1,7,2025,FAST,900,220,0,0,59.02284806985944,1.0731426921792626,801,220,0.89,1.0,0.01,0.010740661529558757,9,55717.56857794731,719.0,900.0,210.0,220.0,735.95,104.14437094725724,212.65,19.36430519769509,7.15,0.8177222222222222,DEN-FOR|1|12:00,2024-07-02,771.0,791.5,0.9298168035375869,716.8887555274795,752.7682495117188,0.836409166124132,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,84.11124447252053,48.23175048828125
LevanteFerries,T0006612,DEN-FOR,Denia,Formentera,2025-07-01 17:00:00,2025-07-01,17:00,1,7,2025,CONV,1200,320,0,0,47.72028192666509,1.0604507094814464,755,241,0.6291666666666667,0.753125,0.029857909487102513,0.011065706699995362,5,43504.195018444225,806.0,699.0,220.0,236.0,740.8,104.83450617144354,213.1,19.42841110062129,7.6,0.6173333333333333,DEN-FOR|1|17:00,2024-07-02,898.0,801.55,0.9242093443952343,829.9399912669204,715.2415771484375,0.596034647623698,VERDE,Activar promo táctica / bundles / campañas por ruta,74.9399912669204,39.7584228515625
LevanteFerries,T0006611,DEN-FOR,Denia,Formentera,2025-07-01 20:00:00,2025-07-01,20:00,1,7,2025,FAST,900,220,0,0,56.43317393300549,1.026057707872827,900,220,1.0,1.0,0.017686888388427108,0.02142651207395904,11,58859.80041212472,608.0,869.0,212.0,220.0,749.85,97.21288359493298,215.7,19.512748868907785,7.65,0.8331666666666667,DEN-FOR|1|20:00,2024-07-02,742.0,805.8,0.9305658972449741,690.4798957557707,692.716064453125,0.7696845160590278,NORMAL,Monitor estándar,209.5201042442293,207.283935546875
LevanteFerries,T0006625,DEN-FOR,Denia,Formentera,2025-07-02 08:00:00,2025-07-02,08:00,2,7,2025,FAST,900,220,0,0,58.85620183575022,1.070112760650004,701,220,0.7788888888888889,1.0,0.03689622765266371,0.020117858660989762,7,49674.634349373184,578.0,894.0,161.0,220.0,762.05,100.08337313933427,217.25,18.484346151043304,7.65,0.8467222222222222,DEN-FOR|2|08:00,2024-07-03,700.0,813.9,0.9362943850595896,655.4060695417128,767.2736206054688,0.8525262451171876,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,45.59393045828722,66.27362060546875
LevanteFerries,T0006623,DEN-FOR,Denia,Formentera,2025-07-02 12:00:00,2025-07-02,12:00,2,7,2025,CONV,1200,320,0,0,49.62929133940531,1.1028731408756736,877,291,0.7308333333333333,0.909375,0.020921253569710103,0.009794408887840805,0,52912.268961506976,776.0,900.0,220.0,220.0,757.65,100.76824635610204,217.5,18.4861256650839,7.85,0.631375,DEN-FOR|2|12:00,2024-07-03,694.0,814.9,0.9297459811019757,645.2437108847712,742.1002807617188,0.6184169006347656,NORMAL,Monitor estándar,231.7562891152288,134.89971923828125
LevanteFerries,T0006626,DEN-FOR,Denia,Formentera,2025-07-02 17:00:00,2025-07-02,17:00,2,7,2025,FAST,900,220,0,0,57.713199014478526,1.049330891172337,858,220,0.9533333333333334,1.0,0.048327729361550505,0.019612356947304004,5,57770.912213493,617.0,745.0,201.0,220.0,762.55,104.18580315449518,219.2,23.257370082576113,7.15,0.8472777777777777,DEN-FOR|2|17:00,2024-07-03,797.0,805.45,0.9467378484077222,754.5500651809547,714.288818359375,0.7936542426215277,NORMAL,Monitor estándar,103.44993481904532,143.711181640625
LevanteFerries,T0006624,DEN-FOR,Denia,Formentera,2025-07-02 20:00:00,2025-07-02,20:00,2,7,2025,FAST,900,220,0,0,59.43117889854603,1.0805668890644733,868,220,0.9644444444444444,1.0,0.05635927653833064,0.012595586019325632,13,60084.921866430035,690.0,664.0,216.0,197.0,767.85,106.29565273083145,219.25,23.257992401029103,7.2,0.8531666666666667,DEN-FOR|2|20:00,2024-07-03,702.0,800.3,0.9594527052355367,673.5357990753467,769.7896728515625,0.8553218587239584,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,194.46420092465326,98.2103271484375
LevanteFerries,T0006639,DEN-FOR,Denia,Formentera,2025-07-03 08:00:00,2025-07-03,08:00,3,7,2025,CONV,1200,320,0,0,50.735794845468256,1.1274621076770723,719,202,0.5991666666666666,0.63125,0.03923681111648801,0.00959836855890598,13,43140.64635710166,801.0,719.0,220.0,210.0,766.25,104.426188991882,219.25,23.257992401029103,7.85,0.6385416666666667,DEN-FOR|3|08:00,2024-07-04,775.0,794.95,0.963897100446569,747.0202528460909,733.6659545898438,0.6113882954915365,NORMAL,Monitor estándar,28.020252846090898,14.66595458984375
LevanteFerries,T0006640,DEN-FOR,Denia,Formentera,2025-07-03 12:00:00,2025-07-03,12:00,3,7,2025,FAST,900,220,0,0,58.247752124150225,1.0590500386209132,840,220,0.9333333333333333,1.0,0.053156337095586016,0.009636988431604782,7,57257.54033803967,755.0,806.0,241.0,220.0,767.25,103.84242870811447,217.55,23.21178239828372,8.5,0.8525,DEN-FOR|3|12:00,2024-07-04,1006.0,790.95,0.9700360326190024,900.0,716.3497924804688,0.7959442138671875,NORMAL,Monitor estándar,60.0,123.65020751953125
LevanteFerries,T0006637,DEN-FOR,Denia,Formentera,2025-07-03 17:00:00,2025-07-03,17:00,3,7,2025,FAST,900,220,0,0,60.313174008339395,1.096603163787989,855,220,0.95,1.0,0.03342261230387831,0.0,12,60192.547660322714,900.0,608.0,220.0,212.0,765.8,102.54118556385987,217.55,23.21178239828372,8.45,0.8508888888888888,DEN-FOR|3|17:00,2024-07-04,849.0,797.75,0.9599498589783766,814.9974302726417,748.0265502929688,0.831140611436632,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,40.002569727358264,106.97344970703125
LevanteFerries,T0006638,DEN-FOR,Denia,Formentera,2025-07-03 20:00:00,2025-07-03,20:00,3,7,2025,FAST,900,220,0,0,58.57654008579656,1.0650280015599374,764,220,0.8488888888888889,1.0,0.0318494496473,0.0,8,53128.921857817484,701.0,578.0,220.0,161.0,763.85,100.32173244118069,217.55,23.21178239828372,9.05,0.8487222222222223,DEN-FOR|3|20:00,2024-07-04,685.0,798.45,0.9566660404533784,655.3162377105642,729.0633544921875,0.8100703938802083,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,108.68376228943578,34.9366455078125
LevanteFerries,T0006655,DEN-FOR,Denia,Formentera,2025-07-04 08:00:00,2025-07-04,08:00,4,7,2025,FAST,900,220,0,0,62.87179524602877,1.1431235499277959,862,220,0.9577777777777777,1.0,0.02664514592330857,0.00046913685142848695,4,63186.15422225892,877.0,776.0,291.0,220.0,757.05,95.07973108479933,217.55,23.21178239828372,8.75,0.8411666666666666,DEN-FOR|4|08:00,2024-07-05,759.0,792.9,0.9547862277714718,724.6827468785472,820.3342895507812,0.9114825439453125,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,137.31725312145284,41.66571044921875
LevanteFerries,T0006653,DEN-FOR,Denia,Formentera,2025-07-04 12:00:00,2025-07-04,12:00,4,7,2025,FAST,900,220,0,0,64.64911614992316,1.1754384754531484,834,211,0.9266666666666666,0.9590909090909091,0.038633058695050765,0.012043128468319345,11,62783.989148997876,858.0,617.0,220.0,201.0,762.9,97.85806047536323,217.55,23.21178239828372,8.65,0.8476666666666667,DEN-FOR|4|12:00,2024-07-05,787.0,793.8,0.9610733182161754,756.36470143613,830.7734375,0.9230815972222223,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,77.63529856387004,3.2265625
LevanteFerries,T0006654,DEN-FOR,Denia,Formentera,2025-07-04 17:00:00,2025-07-04,17:00,4,7,2025,CONV,1200,320,0,0,52.75648778672419,1.1723663952605377,926,320,0.7716666666666666,1.0,0.04003935345470849,0.03126134651653853,3,59825.85715014523,868.0,690.0,220.0,216.0,771.4,96.18425300596566,218.25,22.766260816808686,8.8,0.6428333333333334,DEN-FOR|4|17:00,2024-07-05,770.0,796.15,0.9689128932990014,746.062927840231,799.1200561523438,0.6659333801269531,NORMAL,Monitor estándar,179.93707215976895,126.87994384765625
LevanteFerries,T0006652,DEN-FOR,Denia,Formentera,2025-07-04 20:00:00,2025-07-04,20:00,4,7,2025,CONV,1200,320,0,0,50.490356000020384,1.1220079111115642,1072,320,0.8933333333333333,1.0,0.05565326702519043,0.022260378742789678,22,64627.65568002609,719.0,801.0,202.0,220.0,781.75,101.2526153008551,223.75,32.0589506345652,8.25,0.6514583333333334,DEN-FOR|4|20:00,2024-07-05,915.0,791.35,0.9878688317432236,903.8999810450496,870.7533569335938,0.7256277974446614,NORMAL,Monitor estándar,168.10001895495043,201.24664306640625
LevanteFerries,T0006670,DEN-FOR,Denia,Formentera,2025-07-05 08:00:00,2025-07-05,08:00,5,7,2025,FAST,900,220,0,0,62.11610207722593,1.1293836741313805,900,220,1.0,1.0,0.024806373894755554,0.002272231966624568,0,64787.09446654665,840.0,755.0,220.0,241.0,795.05,120.28670793260127,228.75,38.57852552365066,8.65,0.8833888888888889,DEN-FOR|5|08:00,2024-07-06,900.0,792.1,1.0037242772377224,900.0,900.0,1.0,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,0.0
LevanteFerries,T0006669,DEN-FOR,Denia,Formentera,2025-07-05 12:00:00,2025-07-05,12:00,5,7,2025,FAST,900,220,0,0,65.11629636885311,1.1839326612518748,900,220,1.0,1.0,0.07232561143672135,0.024411806307955787,5,67916.2971127138,855.0,900.0,220.0,220.0,809.65,113.94194043228073,229.15,38.436927145924024,8.35,0.8996111111111111,DEN-FOR|5|12:00,2024-07-06,1200.0,801.25,1.0104836193447737,900.0,867.4930419921875,0.9638811577690972,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,32.5069580078125
LevanteFerries,T0006671,DEN-FOR,Denia,Formentera,2025-07-05 17:00:00,2025-07-05,17:00,5,7,2025,FAST,900,220,0,0,64.69182661857819,1.1762150294286944,900,220,1.0,1.0,0.05516506214293585,0.0160567599975775,7,67473.57516317705,764.0,701.0,220.0,220.0,825.75,101.56401921940508,232.1,35.045684470416894,8.05,0.9175,DEN-FOR|5|17:00,2024-07-06,900.0,816.75,1.0110192837465564,900.0,900.0,1.0,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,0.0
LevanteFerries,T0006668,DEN-FOR,Denia,Formentera,2025-07-05 20:00:00,2025-07-05,20:00,5,7,2025,CONV,1200,320,0,0,52.99477825090535,1.1776617389090078,826,300,0.6883333333333334,0.9375,0.04193446674063959,0.010276727869692222,5,54107.66859417436,862.0,877.0,220.0,291.0,831.95,102.15028917701132,232.1,35.045684470416894,8.05,0.6932916666666668,DEN-FOR|5|20:00,2024-07-06,900.0,818.45,1.0164945934388172,914.8451340949355,947.7073974609375,0.7897561645507812,NORMAL,Monitor estándar,88.84513409493547,121.7073974609375
LevanteFerries,T0006684,DEN-FOR,Denia,Formentera,2025-07-06 08:00:00,2025-07-06,08:00,6,7,2025,FAST,900,220,0,0,63.65157318776558,1.1573013306866469,817,220,0.9077777777777778,1.0,0.04542928547244374,0.03342167377027558,12,61105.51026025495,834.0,858.0,211.0,220.0,842.4,88.82472391708858,237.05,37.33838859883911,7.35,0.9359999999999999,DEN-FOR|6|08:00,2024-07-07,900.0,822.3,1.0244436337103247,900.0,867.0248413085938,0.9633609347873264,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,83.0,50.02484130859375
LevanteFerries,T0006685,DEN-FOR,Denia,Formentera,2025-07-06 12:00:00,2025-07-06,12:00,6,7,2025,FAST,900,220,0,0,62.17228214602451,1.1304051299277182,900,220,1.0,1.0,0.05730326823336539,0.027014012069175548,3,64845.69027830356,926.0,868.0,320.0,220.0,848.75,81.60229292443894,237.25,37.23025792635852,7.95,0.9430555555555555,DEN-FOR|6|12:00,2024-07-07,973.0,832.5,1.0195195195195195,900.0,899.0673217773438,0.9989636908637153,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,0.93267822265625
LevanteFerries,T0006686,DEN-FOR,Denia,Formentera,2025-07-06 17:00:00,2025-07-06,17:00,6,7,2025,FAST,900,220,0,0,66.47859537559066,1.2087017341016484,900,220,1.0,1.0,0.04930178699473713,0.0066487503426333975,1,69337.17497674105,1072.0,719.0,320.0,202.0,853.7,81.5559865820286,237.25,37.23025792635852,7.65,0.9485555555555556,DEN-FOR|6|17:00,2024-07-07,900.0,842.6,1.0131735105625446,900.0,900.0,1.0,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,0.0
LevanteFerries,T0006687,DEN-FOR,Denia,Formentera,2025-07-06 20:00:00,2025-07-06,20:00,6,7,2025,FAST,900,220,0,0,60.76223009362526,1.1047678198840958,900,220,1.0,1.0,0.026431404930820447,0.01712168273189153,6,63375.00598765115,900.0,840.0,220.0,220.0,860.95,78.71566085066861,236.2,37.41460452255202,7.45,0.9566111111111112,DEN-FOR|6|20:00,2024-07-07,945.0,842.7,1.0216565800403465,900.0,868.7998046875,0.9653331163194444,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio,0.0,31.2001953125
LevanteFerries,T0006699,DEN-FOR,Denia,Formentera,2025-07-07 08:00:00,2025-07-07,08:00,0,7,2025,FAST,900,220,0,0,59.475460271061145,1.0813720049283844,648,220,0.72,1.0,0.04613521070454994,0.020660698830681213,5,47045.08907440936,900.0,855.0,220.0,220.0,860.95,78.71566085066861,236.2,37.41460452255202,7.2,0.9566111111111112,DEN-FOR|0|08:00,2024-07-08,656.0,852.85,1.009497566981298,662.2304039397314,795.3592529296875,0.8837325032552084,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación,14.230403939731445,147.3592529296875
