company,trip_id,route_id,origin_port,dest_port,departure_datetime_local,date,dep_time,weekday,month,year,ship_type,capacity_pax,capacity_veh,is_holiday_proxy,sea_bad_proxy,avg_ticket_price,price_index,pax_real,veh_real,occupancy_real_pax,occupancy_real_veh,cancel_rate,no_show_rate,delay_minutes,revenue_real,pax_lag_1w,pax_lag_2w,veh_lag_1w,veh_lag_2w,pax_roll_mean_20,pax_roll_std_20,veh_roll_mean_20,veh_roll_std_20,delay_roll_mean_20,occ_pax_roll_mean_20
LevanteFerries,T0000075,DEN-FOR,Denia,Formentera,2024-01-07 08:00:00,2024-01-07,08:00,6,1,2024,FAST,900,220,0,0,59.03103245476139,1.0732914991774798,594,182,0.66,0.8272727272727273,0.03020625783002932,0.018838995445808596,7,42047.80441752654,542.0,533.0,194.0,160.0,581.25,157.99429536670323,173.8,44.68439030402123,5.6,0.6458333333333334
LevanteFerries,T0000076,DEN-FOR,Denia,Formentera,2024-01-07 12:00:00,2024-01-07,12:00,6,1,2024,FAST,900,220,0,0,58.20397704441886,1.058254128080343,628,178,0.6977777777777778,0.8090909090909091,0.042847650892561644,0.0048162426031954746,16,43286.29772793431,631.0,528.0,214.0,162.0,587.1,156.0856377627022,175.95,43.95030087915693,5.6,0.6523333333333333
LevanteFerries,T0000077,DEN-FOR,Denia,Formentera,2024-01-07 17:00:00,2024-01-07,17:00,6,1,2024,FAST,900,220,0,0,58.379684640306195,1.0614488116419307,644,152,0.7155555555555555,0.6909090909090909,0.022654785096020008,0.01294354755893509,0,43364.42975081944,591.0,399.0,168.0,114.0,585.1,155.2484935090905,174.35,43.221918172685456,6.4,0.6501111111111111
LevanteFerries,T0000078,DEN-FOR,Denia,Formentera,2024-01-07 20:00:00,2024-01-07,20:00,6,1,2024,FAST,900,220,0,0,55.71151499858873,1.012936636337977,728,208,0.8088888888888889,0.9454545454545454,0.043531725524648957,0.026277813039497347,0,48090.179746781796,733.0,393.0,192.0,142.0,588.7,155.76267372613955,173.3,43.510555283202635,5.75,0.6541111111111112
LevanteFerries,T0000089,DEN-FOR,Denia,Formentera,2024-01-08 08:00:00,2024-01-08,08:00,0,1,2024,CONV,1200,320,0,0,41.53759513854223,0.9230576697453828,435,146,0.3625,0.45625,0.0440855463291136,0.01000287623174461,0,22010.77166391353,872.0,474.0,301.0,122.0,601.2,156.44121142326583,177.3,42.79830296684796,5.75,0.501
LevanteFerries,T0000087,DEN-FOR,Denia,Formentera,2024-01-08 12:00:00,2024-01-08,12:00,0,1,2024,FAST,900,220,0,0,55.52701043525552,1.0095820079137368,556,158,0.6177777777777778,0.7181818181818181,0.042660941719554105,0.023487631857821205,3,36575.64177370281,900.0,486.0,220.0,157.0,596.9,159.90520217994953,176.45,43.26354366584316,5.75,0.6632222222222222
LevanteFerries,T0000088,DEN-FOR,Denia,Formentera,2024-01-08 20:00:00,2024-01-08,20:00,0,1,2024,CONV,1200,320,0,0,43.78172882203011,0.9729273071562247,503,151,0.4191666666666667,0.471875,0.03877618345472319,0.003060434487891379,0,26319.3862813634,900.0,416.0,220.0,124.0,599.15,158.94662295050006,175.7,43.45608793883051,5.9,0.49929166666666663
LevanteFerries,T0000099,DEN-FOR,Denia,Formentera,2024-01-09 08:00:00,2024-01-09,08:00,1,1,2024,FAST,900,220,0,1,55.16340745466188,1.002971044630216,325,111,0.3611111111111111,0.5045454545454545,0.09696391783651472,0.028614083004710154,9,21908.147270618967,594.0,542.0,182.0,194.0,597.65,159.74330560061208,175.25,43.67327859410027,5.9,0.6640555555555555
LevanteFerries,T0000097,DEN-FOR,Denia,Formentera,2024-01-09 17:00:00,2024-01-09,17:00,1,1,2024,FAST,900,220,0,1,55.738892632592474,1.0134344115016813,429,135,0.4766666666666667,0.6136363636363636,0.0782310822829619,0.023686303063500835,14,28803.07276789216,628.0,631.0,178.0,214.0,587.5,170.48954281869118,172.7,45.9188070631769,6.05,0.6527777777777778
LevanteFerries,T0000098,DEN-FOR,Denia,Formentera,2024-01-09 20:00:00,2024-01-09,20:00,1,1,2024,FAST,900,220,0,1,56.33156366520838,1.0242102484583342,475,124,0.5277777777777778,0.5636363636363636,0.04,0.03201221778356055,21,31297.816772389775,644.0,591.0,152.0,168.0,589.0,168.8680581182587,173.75,44.73062650319603,6.6,0.6544444444444445
LevanteFerries,T0000108,DEN-FOR,Denia,Formentera,2024-01-10 08:00:00,2024-01-10,08:00,2,1,2024,FAST,900,220,0,0,55.417259944700334,1.007586544449097,428,127,0.47555555555555556,0.5772727272727273,0.03057900874411939,0.017180169840124077,2,28293.282064766754,728.0,733.0,208.0,192.0,593.1,164.80543552609964,172.85,45.5761652852153,7.5,0.659
